class,split_group,split,source,image_count
id_card,aadhar_1,validation,real,10
id_card,aadhar_10,validation,real,10
id_card,aadhar_100,train,real,10
id_card,aadhar_101,train,real,10
id_card,aadhar_102,train,real,10
id_card,aadhar_103,validation,real,10
id_card,aadhar_104,validation,real,10
id_card,aadhar_105,train,real,10
id_card,aadhar_106,train,real,10
id_card,aadhar_107,train,real,10
id_card,aadhar_108,train,real,10
id_card,aadhar_11,validation,real,10
id_card,aadhar_12,train,real,10
id_card,aadhar_13,train,real,10
id_card,aadhar_15,validation,real,10
id_card,aadhar_16,train,real,10
id_card,aadhar_17,validation,real,10
id_card,aadhar_18,train,real,10
id_card,aadhar_19,train,real,10
id_card,aadhar_2,train,real,10
id_card,aadhar_20,validation,real,10
id_card,aadhar_21,train,real,10
id_card,aadhar_22,train,real,10
id_card,aadhar_23,train,real,5
id_card,aadhar_24,train,real,5
id_card,aadhar_25,train,real,10
id_card,aadhar_26,train,real,10
id_card,aadhar_27,train,real,10
id_card,aadhar_28,train,real,10
id_card,aadhar_29,train,real,5
id_card,aadhar_3,train,real,10
id_card,aadhar_31,train,real,5
id_card,aadhar_32,validation,real,10
id_card,aadhar_33,validation,real,10
id_card,aadhar_34,train,real,10
id_card,aadhar_35,validation,real,10
id_card,aadhar_36,train,real,10
id_card,aadhar_37,train,real,10
id_card,aadhar_38,train,real,10
id_card,aadhar_39,train,real,10
id_card,aadhar_40,train,real,10
id_card,aadhar_41,train,real,10
id_card,aadhar_42,validation,real,10
id_card,aadhar_43,train,real,10
id_card,aadhar_44,train,real,10
id_card,aadhar_45,train,real,10
id_card,aadhar_46,train,real,10
id_card,aadhar_47,train,real,10
id_card,aadhar_48,train,real,10
id_card,aadhar_49,train,real,10
id_card,aadhar_5,train,real,10
id_card,aadhar_50,train,real,10
id_card,aadhar_51,train,real,10
id_card,aadhar_52,train,real,10
id_card,aadhar_53,validation,real,10
id_card,aadhar_54,train,real,10
id_card,aadhar_55,validation,real,10
id_card,aadhar_56,train,real,10
id_card,aadhar_57,train,real,10
id_card,aadhar_58,train,real,10
id_card,aadhar_59,train,real,10
id_card,aadhar_6,train,real,10
id_card,aadhar_60,validation,real,10
id_card,aadhar_61,train,real,10
id_card,aadhar_62,validation,real,10
id_card,aadhar_63,train,real,10
id_card,aadhar_64,train,real,10
id_card,aadhar_65,train,real,10
id_card,aadhar_66,train,real,10
id_card,aadhar_67,train,real,10
id_card,aadhar_68,validation,real,10
id_card,aadhar_69,validation,real,10
id_card,aadhar_7,train,real,5
id_card,aadhar_70,train,real,10
id_card,aadhar_71,train,real,10
id_card,aadhar_72,train,real,10
id_card,aadhar_73,train,real,10
id_card,aadhar_74,train,real,10
id_card,aadhar_75,train,real,10
id_card,aadhar_76,train,real,10
id_card,aadhar_77,train,real,10
id_card,aadhar_78,validation,real,5
id_card,aadhar_79,train,real,5
id_card,aadhar_8,train,real,5
id_card,aadhar_80,train,real,10
id_card,aadhar_81,train,real,10
id_card,aadhar_82,train,real,10
id_card,aadhar_83,train,real,10
id_card,aadhar_84,train,real,10
id_card,aadhar_85,train,real,10
id_card,aadhar_86,train,real,10
id_card,aadhar_87,train,real,10
id_card,aadhar_88,train,real,5
id_card,aadhar_89,train,real,5
id_card,aadhar_9,train,real,10
id_card,aadhar_90,train,real,10
id_card,aadhar_91,train,real,10
id_card,aadhar_92,train,real,10
id_card,aadhar_93,validation,real,10
id_card,aadhar_94,validation,real,10
id_card,aadhar_95,train,real,10
id_card,aadhar_96,train,real,10
id_card,aadhar_97,train,real,10
id_card,aadhar_98,train,real,10
id_card,aadhar_99,train,real,10
passport,passport_001,train,synthetic,6
passport,passport_002,validation,synthetic,6
passport,passport_003,train,synthetic,6
passport,passport_004,train,synthetic,6
passport,passport_005,train,synthetic,6
passport,passport_006,train,synthetic,6
passport,passport_007,validation,synthetic,6
