path,class,source,base_id,augmentation,split_group
backend/app/modules/m2_classifier/training/data/passport/passport_067_base.png,passport,synthetic,passport_067,original,passport_067
backend/app/modules/m2_classifier/training/data/passport/passport_067_blurred.png,passport,synthetic,passport_067,blurred,passport_067
backend/app/modules/m2_classifier/training/data/passport/passport_067_contrast_adjusted.png,passport,synthetic,passport_067,contrast_adjusted,passport_067
backend/app/modules/m2_classifier/training/data/passport/passport_067_hue_sat_adjusted.png,passport,synthetic,passport_067,hue_sat_adjusted,passport_067
backend/app/modules/m2_classifier/training/data/passport/passport_067_scaled_up.png,passport,synthetic,passport_067,scaled_up,passport_067
backend/app/modules/m2_classifier/training/data/passport/passport_067_scaled_down.png,passport,synthetic,passport_067,scaled_down,passport_067
backend/app/modules/m2_classifier/training/data/passport/passport_188_base.png,passport,synthetic,passport_188,original,passport_188
backend/app/modules/m2_classifier/training/data/passport/passport_188_blurred.png,passport,synthetic,passport_188,blurred,passport_188
backend/app/modules/m2_classifier/training/data/passport/passport_188_contrast_adjusted.png,passport,synthetic,passport_188,contrast_adjusted,passport_188
backend/app/modules/m2_classifier/training/data/passport/passport_188_hue_sat_adjusted.png,passport,synthetic,passport_188,hue_sat_adjusted,passport_188
backend/app/modules/m2_classifier/training/data/passport/passport_188_scaled_up.png,passport,synthetic,passport_188,scaled_up,passport_188
backend/app/modules/m2_classifier/training/data/passport/passport_188_scaled_down.png,passport,synthetic,passport_188,scaled_down,passport_188
backend/app/modules/m2_classifier/training/data/passport/passport_102_base.png,passport,synthetic,passport_102,original,passport_102
backend/app/modules/m2_classifier/training/data/passport/passport_102_blurred.png,passport,synthetic,passport_102,blurred,passport_102
backend/app/modules/m2_classifier/training/data/passport/passport_102_contrast_adjusted.png,passport,synthetic,passport_102,contrast_adjusted,passport_102
backend/app/modules/m2_classifier/training/data/passport/passport_102_hue_sat_adjusted.png,passport,synthetic,passport_102,hue_sat_adjusted,passport_102
backend/app/modules/m2_classifier/training/data/passport/passport_102_scaled_up.png,passport,synthetic,passport_102,scaled_up,passport_102
backend/app/modules/m2_classifier/training/data/passport/passport_102_scaled_down.png,passport,synthetic,passport_102,scaled_down,passport_102
backend/app/modules/m2_classifier/training/data/passport/passport_194_base.png,passport,synthetic,passport_194,original,passport_194
backend/app/modules/m2_classifier/training/data/passport/passport_194_blurred.png,passport,synthetic,passport_194,blurred,passport_194
backend/app/modules/m2_classifier/training/data/passport/passport_194_contrast_adjusted.png,passport,synthetic,passport_194,contrast_adjusted,passport_194
backend/app/modules/m2_classifier/training/data/passport/passport_194_hue_sat_adjusted.png,passport,synthetic,passport_194,hue_sat_adjusted,passport_194
backend/app/modules/m2_classifier/training/data/passport/passport_194_scaled_up.png,passport,synthetic,passport_194,scaled_up,passport_194
backend/app/modules/m2_classifier/training/data/passport/passport_194_scaled_down.png,passport,synthetic,passport_194,scaled_down,passport_194
backend/app/modules/m2_classifier/training/data/passport/passport_112_base.png,passport,synthetic,passport_112,original,passport_112
backend/app/modules/m2_classifier/training/data/passport/passport_112_blurred.png,passport,synthetic,passport_112,blurred,passport_112
backend/app/modules/m2_classifier/training/data/passport/passport_112_contrast_adjusted.png,passport,synthetic,passport_112,contrast_adjusted,passport_112
backend/app/modules/m2_classifier/training/data/passport/passport_112_hue_sat_adjusted.png,passport,synthetic,passport_112,hue_sat_adjusted,passport_112
backend/app/modules/m2_classifier/training/data/passport/passport_112_scaled_up.png,passport,synthetic,passport_112,scaled_up,passport_112
backend/app/modules/m2_classifier/training/data/passport/passport_112_scaled_down.png,passport,synthetic,passport_112,scaled_down,passport_112
backend/app/modules/m2_classifier/training/data/passport/passport_122_base.png,passport,synthetic,passport_122,original,passport_122
backend/app/modules/m2_classifier/training/data/passport/passport_122_blurred.png,passport,synthetic,passport_122,blurred,passport_122
backend/app/modules/m2_classifier/training/data/passport/passport_122_contrast_adjusted.png,passport,synthetic,passport_122,contrast_adjusted,passport_122
backend/app/modules/m2_classifier/training/data/passport/passport_122_hue_sat_adjusted.png,passport,synthetic,passport_122,hue_sat_adjusted,passport_122
backend/app/modules/m2_classifier/training/data/passport/passport_122_scaled_up.png,passport,synthetic,passport_122,scaled_up,passport_122
backend/app/modules/m2_classifier/training/data/passport/passport_122_scaled_down.png,passport,synthetic,passport_122,scaled_down,passport_122
backend/app/modules/m2_classifier/training/data/passport/passport_014_base.png,passport,synthetic,passport_014,original,passport_014
backend/app/modules/m2_classifier/training/data/passport/passport_014_blurred.png,passport,synthetic,passport_014,blurred,passport_014
backend/app/modules/m2_classifier/training/data/passport/passport_014_contrast_adjusted.png,passport,synthetic,passport_014,contrast_adjusted,passport_014
backend/app/modules/m2_classifier/training/data/passport/passport_014_hue_sat_adjusted.png,passport,synthetic,passport_014,hue_sat_adjusted,passport_014
backend/app/modules/m2_classifier/training/data/passport/passport_014_scaled_up.png,passport,synthetic,passport_014,scaled_up,passport_014
backend/app/modules/m2_classifier/training/data/passport/passport_014_scaled_down.png,passport,synthetic,passport_014,scaled_down,passport_014
backend/app/modules/m2_classifier/training/data/passport/passport_003_base.png,passport,synthetic,passport_003,original,passport_003
backend/app/modules/m2_classifier/training/data/passport/passport_003_blurred.png,passport,synthetic,passport_003,blurred,passport_003
backend/app/modules/m2_classifier/training/data/passport/passport_003_contrast_adjusted.png,passport,synthetic,passport_003,contrast_adjusted,passport_003
backend/app/modules/m2_classifier/training/data/passport/passport_003_hue_sat_adjusted.png,passport,synthetic,passport_003,hue_sat_adjusted,passport_003
backend/app/modules/m2_classifier/training/data/passport/passport_003_scaled_up.png,passport,synthetic,passport_003,scaled_up,passport_003
backend/app/modules/m2_classifier/training/data/passport/passport_003_scaled_down.png,passport,synthetic,passport_003,scaled_down,passport_003
backend/app/modules/m2_classifier/training/data/passport/passport_065_base.png,passport,synthetic,passport_065,original,passport_065
backend/app/modules/m2_classifier/training/data/passport/passport_065_blurred.png,passport,synthetic,passport_065,blurred,passport_065
backend/app/modules/m2_classifier/training/data/passport/passport_065_contrast_adjusted.png,passport,synthetic,passport_065,contrast_adjusted,passport_065
backend/app/modules/m2_classifier/training/data/passport/passport_065_hue_sat_adjusted.png,passport,synthetic,passport_065,hue_sat_adjusted,passport_065
backend/app/modules/m2_classifier/training/data/passport/passport_065_scaled_up.png,passport,synthetic,passport_065,scaled_up,passport_065
backend/app/modules/m2_classifier/training/data/passport/passport_065_scaled_down.png,passport,synthetic,passport_065,scaled_down,passport_065
backend/app/modules/m2_classifier/training/data/passport/passport_045_base.png,passport,synthetic,passport_045,original,passport_045
backend/app/modules/m2_classifier/training/data/passport/passport_045_blurred.png,passport,synthetic,passport_045,blurred,passport_045
backend/app/modules/m2_classifier/training/data/passport/passport_045_contrast_adjusted.png,passport,synthetic,passport_045,contrast_adjusted,passport_045
backend/app/modules/m2_classifier/training/data/passport/passport_045_hue_sat_adjusted.png,passport,synthetic,passport_045,hue_sat_adjusted,passport_045
backend/app/modules/m2_classifier/training/data/passport/passport_045_scaled_up.png,passport,synthetic,passport_045,scaled_up,passport_045
backend/app/modules/m2_classifier/training/data/passport/passport_045_scaled_down.png,passport,synthetic,passport_045,scaled_down,passport_045
backend/app/modules/m2_classifier/training/data/passport/passport_137_base.png,passport,synthetic,passport_137,original,passport_137
backend/app/modules/m2_classifier/training/data/passport/passport_137_blurred.png,passport,synthetic,passport_137,blurred,passport_137
backend/app/modules/m2_classifier/training/data/passport/passport_137_contrast_adjusted.png,passport,synthetic,passport_137,contrast_adjusted,passport_137
backend/app/modules/m2_classifier/training/data/passport/passport_137_hue_sat_adjusted.png,passport,synthetic,passport_137,hue_sat_adjusted,passport_137
backend/app/modules/m2_classifier/training/data/passport/passport_137_scaled_up.png,passport,synthetic,passport_137,scaled_up,passport_137
backend/app/modules/m2_classifier/training/data/passport/passport_137_scaled_down.png,passport,synthetic,passport_137,scaled_down,passport_137
backend/app/modules/m2_classifier/training/data/passport/passport_171_base.png,passport,synthetic,passport_171,original,passport_171
backend/app/modules/m2_classifier/training/data/passport/passport_171_blurred.png,passport,synthetic,passport_171,blurred,passport_171
backend/app/modules/m2_classifier/training/data/passport/passport_171_contrast_adjusted.png,passport,synthetic,passport_171,contrast_adjusted,passport_171
backend/app/modules/m2_classifier/training/data/passport/passport_171_hue_sat_adjusted.png,passport,synthetic,passport_171,hue_sat_adjusted,passport_171
backend/app/modules/m2_classifier/training/data/passport/passport_171_scaled_up.png,passport,synthetic,passport_171,scaled_up,passport_171
backend/app/modules/m2_classifier/training/data/passport/passport_171_scaled_down.png,passport,synthetic,passport_171,scaled_down,passport_171
backend/app/modules/m2_classifier/training/data/passport/passport_129_base.png,passport,synthetic,passport_129,original,passport_129
backend/app/modules/m2_classifier/training/data/passport/passport_129_blurred.png,passport,synthetic,passport_129,blurred,passport_129
backend/app/modules/m2_classifier/training/data/passport/passport_129_contrast_adjusted.png,passport,synthetic,passport_129,contrast_adjusted,passport_129
