path,class,source,base_id,augmentation
backend/app/modules/m2_classifier/training/data/passport/passport_001_base.png,passport,synthetic,passport_001,original
backend/app/modules/m2_classifier/training/data/passport/passport_001_blurred.png,passport,synthetic,passport_001,blurred
backend/app/modules/m2_classifier/training/data/passport/passport_001_contrast_adjusted.png,passport,synthetic,passport_001,contrast_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_001_hue_sat_adjusted.png,passport,synthetic,passport_001,hue_sat_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_001_scaled_up.png,passport,synthetic,passport_001,scaled_up
backend/app/modules/m2_classifier/training/data/passport/passport_001_scaled_down.png,passport,synthetic,passport_001,scaled_down
backend/app/modules/m2_classifier/training/data/passport/passport_002_base.png,passport,synthetic,passport_002,original
backend/app/modules/m2_classifier/training/data/passport/passport_002_blurred.png,passport,synthetic,passport_002,blurred
backend/app/modules/m2_classifier/training/data/passport/passport_002_contrast_adjusted.png,passport,synthetic,passport_002,contrast_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_002_hue_sat_adjusted.png,passport,synthetic,passport_002,hue_sat_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_002_scaled_up.png,passport,synthetic,passport_002,scaled_up
backend/app/modules/m2_classifier/training/data/passport/passport_002_scaled_down.png,passport,synthetic,passport_002,scaled_down
backend/app/modules/m2_classifier/training/data/passport/passport_003_base.png,passport,synthetic,passport_003,original
backend/app/modules/m2_classifier/training/data/passport/passport_003_blurred.png,passport,synthetic,passport_003,blurred
backend/app/modules/m2_classifier/training/data/passport/passport_003_contrast_adjusted.png,passport,synthetic,passport_003,contrast_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_003_hue_sat_adjusted.png,passport,synthetic,passport_003,hue_sat_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_003_scaled_up.png,passport,synthetic,passport_003,scaled_up
backend/app/modules/m2_classifier/training/data/passport/passport_003_scaled_down.png,passport,synthetic,passport_003,scaled_down
backend/app/modules/m2_classifier/training/data/passport/passport_004_base.png,passport,synthetic,passport_004,original
backend/app/modules/m2_classifier/training/data/passport/passport_004_blurred.png,passport,synthetic,passport_004,blurred
backend/app/modules/m2_classifier/training/data/passport/passport_004_contrast_adjusted.png,passport,synthetic,passport_004,contrast_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_004_hue_sat_adjusted.png,passport,synthetic,passport_004,hue_sat_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_004_scaled_up.png,passport,synthetic,passport_004,scaled_up
backend/app/modules/m2_classifier/training/data/passport/passport_004_scaled_down.png,passport,synthetic,passport_004,scaled_down
backend/app/modules/m2_classifier/training/data/passport/passport_005_base.png,passport,synthetic,passport_005,original
backend/app/modules/m2_classifier/training/data/passport/passport_005_blurred.png,passport,synthetic,passport_005,blurred
backend/app/modules/m2_classifier/training/data/passport/passport_005_contrast_adjusted.png,passport,synthetic,passport_005,contrast_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_005_hue_sat_adjusted.png,passport,synthetic,passport_005,hue_sat_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_005_scaled_up.png,passport,synthetic,passport_005,scaled_up
backend/app/modules/m2_classifier/training/data/passport/passport_005_scaled_down.png,passport,synthetic,passport_005,scaled_down
backend/app/modules/m2_classifier/training/data/passport/passport_006_base.png,passport,synthetic,passport_006,original
backend/app/modules/m2_classifier/training/data/passport/passport_006_blurred.png,passport,synthetic,passport_006,blurred
backend/app/modules/m2_classifier/training/data/passport/passport_006_contrast_adjusted.png,passport,synthetic,passport_006,contrast_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_006_hue_sat_adjusted.png,passport,synthetic,passport_006,hue_sat_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_006_scaled_up.png,passport,synthetic,passport_006,scaled_up
backend/app/modules/m2_classifier/training/data/passport/passport_006_scaled_down.png,passport,synthetic,passport_006,scaled_down
backend/app/modules/m2_classifier/training/data/passport/passport_007_base.png,passport,synthetic,passport_007,original
backend/app/modules/m2_classifier/training/data/passport/passport_007_blurred.png,passport,synthetic,passport_007,blurred
backend/app/modules/m2_classifier/training/data/passport/passport_007_contrast_adjusted.png,passport,synthetic,passport_007,contrast_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_007_hue_sat_adjusted.png,passport,synthetic,passport_007,hue_sat_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_007_scaled_up.png,passport,synthetic,passport_007,scaled_up
backend/app/modules/m2_classifier/training/data/passport/passport_007_scaled_down.png,passport,synthetic,passport_007,scaled_down
backend/app/modules/m2_classifier/training/data/passport/passport_008_base.png,passport,synthetic,passport_008,original
backend/app/modules/m2_classifier/training/data/passport/passport_008_blurred.png,passport,synthetic,passport_008,blurred
backend/app/modules/m2_classifier/training/data/passport/passport_008_contrast_adjusted.png,passport,synthetic,passport_008,contrast_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_008_hue_sat_adjusted.png,passport,synthetic,passport_008,hue_sat_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_008_scaled_up.png,passport,synthetic,passport_008,scaled_up
backend/app/modules/m2_classifier/training/data/passport/passport_008_scaled_down.png,passport,synthetic,passport_008,scaled_down
backend/app/modules/m2_classifier/training/data/passport/passport_009_base.png,passport,synthetic,passport_009,original
backend/app/modules/m2_classifier/training/data/passport/passport_009_blurred.png,passport,synthetic,passport_009,blurred
backend/app/modules/m2_classifier/training/data/passport/passport_009_contrast_adjusted.png,passport,synthetic,passport_009,contrast_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_009_hue_sat_adjusted.png,passport,synthetic,passport_009,hue_sat_adjusted
backend/app/modules/m2_classifier/training/data/passport/passport_009_scaled_up.png,passport,synthetic,passport_009,scaled_up
backend/app/modules/m2_classifier/training/data/passport/passport_009_scaled_down.png,passport,synthetic,passport_009,scaled_down
backend/app/modules/m2_classifier/training/data/passport/passport_010_base.png,passport,synthetic,passport_010,original
backend/app/modules/m2_classifier/training/data/passport/passport_010_blurred.png,passport,synthetic,passport_010,blurred
